Sample 0: Input=[[0 1 0 0] [0 0 1 1] [0 0 1 0] [1 1 0 1]], Label=4
Sample 1: Input=[[0 0 1 1] [1 0 1 0] [1 1 0 0] [1 1 1 0]], Label=3
Sample 2: Input=[[0 1 0 1] [1 0 0 0] [1 1 0 1] [1 1 1 0]], Label=0
Sample 3: Input=[[1 0 0 0] [1 0 0 1] [0 1 0 1] [1 0 0 1]], Label=1
Sample 4: Input=[[0 0 0 1] [1 1 0 1] [0 0 1 1] [1 1 1 1]], Label=4
Sample 5: Input=[[1 0 0 1] [0 1 0 0] [1 1 0 1] [0 1 0 1]], Label=2
Sample 6: Input=[[1 1 1 1] [0 1 1 0] [1 0 1 0] [0 0 1 1]], Label=1
Sample 7: Input=[[0 0 0 0] [1 0 0 1] [0 0 1 0] [1 0 1 1]], Label=1
Sample 8: Input=[[0 0 1 1] [1 1 1 0] [0 1 1 0] [1 1 0 1]], Label=0
Sample 9: Input=[[0 0 1 1] [1 1 0 0] [0 1 1 1] [0 1 0 0]], Label=1
Sample 10: Input=[[0 1 0 1] [0 0 0 1] [0 0 1 0] [1 0 0 0]], Label=6
Sample 11: Input=[[1 0 1 1] [0 0 1 0] [1 1 1 1] [0 1 1 1]], Label=1
Sample 12: Input=[[1 1 1 1] [0 0 0 0] [0 0 1 1] [1 1 1 1]], Label=3
Sample 13: Input=[[0 1 1 0] [0 0 0 0] [1 0 0 1] [1 0 0 1]], Label=5
Sample 14: Input=[[0 0 0 1] [0 1 1 0] [0 1 0 0] [1 0 1 1]], Label=5
Sample 15: Input=[[1 1 1 1] [1 1 1 1] [0 1 1 0] [0 0 0 1]], Label=6
Sample 16: Input=[[0 0 0 0] [1 1 0 1] [1 0 0 0] [0 0 0 1]], Label=6
Sample 17: Input=[[1 1 0 1] [0 1 0 0] [1 0 0 1] [0 1 1 1]], Label=5
Sample 18: Input=[[1 1 0 1] [1 0 1 1] [0 1 0 1] [0 1 0 0]], Label=4
Sample 19: Input=[[0 1 0 1] [1 0 1 1] [0 1 1 0] [1 1 1 0]], Label=6
